,BIL,BRC,BSL1,BSL3,BSLO,JGSS,LOB,LW,PT,S100,S110,S8CR,S90,SPC
BIL,NA,0.296412461,0.256855734,0.320070965,0.297231347,0.040048936,0.342804814,0.250380457,0.234530995,0.372056696,0.29121185,0.309813287,0.290105991,0.304273071
BRC,0.296412461,NA,0.268063335,0.33883372,0.303331292,0.312928936,0.456078055,0.343440252,0.306878321,0.491823602,0.423435147,0.360445371,0.399223829,0.339506788
BSL1,0.256855734,0.268063335,NA,0.195668616,0.184926858,0.27149608,0.390274736,0.297619801,0.260609699,0.472385073,0.389539346,0.225005327,0.349195489,0.188862002
BSL3,0.320070965,0.33883372,0.195668616,NA,0.079907364,0.325054592,0.3889602,0.3542209,0.312467234,0.511119756,0.452926142,0.134121,0.377103842,0.2252578
BSLO,0.297231347,0.303331292,0.184926858,0.079907364,NA,0.308082067,0.33283358,0.325945194,0.284978052,0.439315794,0.400652601,0.13322195,0.326925452,0.190274097
JGSS,0.040048936,0.312928936,0.27149608,0.325054592,0.308082067,NA,0.362351249,0.291248812,0.250798624,0.433122234,0.319045378,0.329640088,0.322290297,0.320509686
LOB,0.342804814,0.456078055,0.390274736,0.3889602,0.33283358,0.362351249,NA,0.434592341,0.430133793,0.529707599,0.495770803,0.392308116,0.45327847,0.38766541
LW,0.250380457,0.343440252,0.297619801,0.3542209,0.325945194,0.291248812,0.434592341,NA,0.343177573,0.492353231,0.414000827,0.385013428,0.417009744,0.365613866
PT,0.234530995,0.306878321,0.260609699,0.312467234,0.284978052,0.250798624,0.430133793,0.343177573,NA,0.477323128,0.396176658,0.338814674,0.405688672,0.312402465
S100,0.372056696,0.491823602,0.472385073,0.511119756,0.439315794,0.433122234,0.529707599,0.492353231,0.477323128,NA,0.566582966,0.503853887,0.540596653,0.489813472
S110,0.29121185,0.423435147,0.389539346,0.452926142,0.400652601,0.319045378,0.495770803,0.414000827,0.396176658,0.566582966,NA,0.456912109,0.460624737,0.435195557
S8CR,0.309813287,0.360445371,0.225005327,0.134121,0.13322195,0.329640088,0.392308116,0.385013428,0.338814674,0.503853887,0.456912109,NA,0.351840715,0.230195079
S90,0.290105991,0.399223829,0.349195489,0.377103842,0.326925452,0.322290297,0.45327847,0.417009744,0.405688672,0.540596653,0.460624737,0.351840715,NA,0.394548271
SPC,0.304273071,0.339506788,0.188862002,0.2252578,0.190274097,0.320509686,0.38766541,0.365613866,0.312402465,0.489813472,0.435195557,0.230195079,0.394548271,NA
