,BIL,BRC,BSL1,BSL3,BSLO,CRHS,CRPR,CT1,CT2,EPHS,FS,GSN,HIB,JGSS,LOB,LW,MC,PG,PT,RL,S100,S110,S8CR,S90,SOC,SPC,T1L,VL1,VL2
BIL,NA,0.296412461,0.256855734,0.320070965,0.297231347,0.451593947,0.340456831,0.343289298,0.34644933,0.313274504,0.444240348,0.07262593,0.842033188,0.040048936,0.342804814,0.250380457,0.268556881,0.517634333,0.234530995,0.414799475,0.372056696,0.29121185,0.309813287,0.290105991,0.469551581,0.304273071,0.312106111,0.383922984,0.402583667
BRC,0.296412461,NA,0.268063335,0.33883372,0.303331292,0.533134946,0.385700265,0.384940014,0.383835208,0.364644158,0.479909663,0.268648488,1.024487435,0.312928936,0.456078055,0.343440252,0.319401952,0.578337775,0.306878321,0.470437112,0.491823602,0.423435147,0.360445371,0.399223829,0.574568,0.339506788,0.398143229,0.387522771,0.446482873
BSL1,0.256855734,0.268063335,NA,0.195668616,0.184926858,0.459268151,0.314019417,0.268326922,0.300037234,0.296683664,0.383412683,0.205035148,0.962040271,0.27149608,0.390274736,0.297619801,0.230454831,0.49457959,0.260609699,0.407698139,0.472385073,0.389539346,0.225005327,0.349195489,0.503568934,0.188862002,0.349525849,0.300902521,0.336917692
BSL3,0.320070965,0.33883372,0.195668616,NA,0.079907364,0.524348212,0.357927778,0.281567617,0.306233481,0.350338247,0.447408066,0.274363885,1.042764239,0.325054592,0.3889602,0.3542209,0.307229103,0.56251423,0.312467234,0.475927903,0.511119756,0.452926142,0.134121,0.377103842,0.557984087,0.2252578,0.39791248,0.367406062,0.406065434
BSLO,0.297231347,0.303331292,0.184926858,0.079907364,NA,0.417576884,0.312200821,0.252765512,0.267556738,0.28902845,0.372972918,0.259902778,0.744217501,0.308082067,0.33283358,0.325945194,0.28606577,0.457433051,0.284978052,0.402501824,0.439315794,0.400652601,0.13322195,0.326925452,0.460130451,0.190274097,0.328553935,0.316879761,0.348736048
CRHS,0.451593947,0.533134946,0.459268151,0.524348212,0.417576884,NA,0.343787707,0.400170544,0.417775279,0.33364962,0.358660986,0.469871654,0.726959059,0.513822037,0.608038448,0.606045017,0.373948634,0.535896443,0.44015124,0.629782817,0.726993419,0.643281129,0.528828854,0.634965071,0.7186143,0.462614454,0.462314749,0.250949858,0.431730088
CRPR,0.340456831,0.385700265,0.314019417,0.357927778,0.312200821,0.343787707,NA,0.240775372,0.294107415,0.26756643,0.263726847,0.332146607,0.705766672,0.359473259,0.486193642,0.435657289,0.268569837,0.2478157,0.290324389,0.456163487,0.567824757,0.483590387,0.371545074,0.461664708,0.429279093,0.328122083,0.379726268,0.194099318,0.296291727
CT1,0.343289298,0.384940014,0.268326922,0.281567617,0.252765512,0.400170544,0.240775372,NA,0.20496699,0.294940859,0.335489395,0.325673052,0.881300203,0.367768632,0.469472678,0.423725774,0.285337042,0.3039161,0.305731835,0.46125528,0.559880665,0.501343515,0.307492582,0.457047276,0.399627535,0.28025269,0.401766971,0.233296085,0.29171995
CT2,0.34644933,0.383835208,0.300037234,0.306233481,0.267556738,0.417775279,0.294107415,0.20496699,NA,0.306649164,0.365724813,0.329138228,0.874676377,0.38022474,0.459710592,0.42728725,0.295502461,0.486404835,0.318980141,0.470442641,0.547019198,0.487559019,0.329146127,0.460103082,0.580453975,0.312090845,0.408136835,0.253284395,0.281253803
EPHS,0.313274504,0.364644158,0.296683664,0.350338247,0.28902845,0.33364962,0.26756643,0.294940859,0.306649164,NA,0.323674633,0.310660362,0.769086163,0.334210673,0.459999769,0.406408706,0.185322714,0.449645062,0.276903832,0.493159334,0.519022674,0.463780879,0.357912932,0.434605354,0.583842696,0.324932672,0.213209571,0.228738829,0.337188015
