,MC,PG,RL,SOC,T1L,VL1,VL2,CRHS,CRPR,CT1,CT2,EPHS,FS,GSN,HIB
MC,NA,0.493350633,0.473210092,0.585327927,0.229916198,0.237481147,0.326095572,0.373948634,0.268569837,0.285337042,0.295502461,0.185322714,0.325728877,0.249132362,0.843108918
PG,0.493350633,NA,0.617833601,0.479128123,0.564952508,0.328495868,0.458513225,0.535896443,0.2478157,0.3039161,0.486404835,0.449645062,0.452069666,0.528451371,0.854486784
RL,0.473210092,0.617833601,NA,0.809883914,0.558212802,0.375330141,0.435292238,0.629782817,0.456163487,0.46125528,0.470442641,0.493159334,0.57558322,0.42479201,1.200012589
SOC,0.585327927,0.479128123,0.809883914,NA,0.656065825,0.399648528,0.573742384,0.7186143,0.429279093,0.399627535,0.580453975,0.583842696,0.683134731,0.493094139,1.304693
T1L,0.229916198,0.564952508,0.558212802,0.656065825,NA,0.363359247,0.477772047,0.462314749,0.379726268,0.401766971,0.408136835,0.213209571,0.497599608,0.321363925,0.972983563
VL1,0.237481147,0.328495868,0.375330141,0.399648528,0.363359247,NA,0.17974245,0.250949858,0.194099318,0.233296085,0.253284395,0.228738829,0.10735848,0.362502566,0.422847762
VL2,0.326095572,0.458513225,0.435292238,0.573742384,0.477772047,0.17974245,NA,0.431730088,0.296291727,0.29171995,0.281253803,0.337188015,0.297882794,0.390709968,0.811380799
CRHS,0.373948634,0.535896443,0.629782817,0.7186143,0.462314749,0.250949858,0.431730088,NA,0.343787707,0.400170544,0.417775279,0.33364962,0.358660986,0.469871654,0.726959059
CRPR,0.268569837,0.2478157,0.456163487,0.429279093,0.379726268,0.194099318,0.296291727,0.343787707,NA,0.240775372,0.294107415,0.26756643,0.263726847,0.332146607,0.705766672
CT1,0.285337042,0.3039161,0.46125528,0.399627535,0.401766971,0.233296085,0.29171995,0.400170544,0.240775372,NA,0.20496699,0.294940859,0.335489395,0.325673052,0.881300203
CT2,0.295502461,0.486404835,0.470442641,0.580453975,0.408136835,0.253284395,0.281253803,0.417775279,0.294107415,0.20496699,NA,0.306649164,0.365724813,0.329138228,0.874676377
EPHS,0.185322714,0.449645062,0.493159334,0.583842696,0.213209571,0.228738829,0.337188015,0.33364962,0.26756643,0.294940859,0.306649164,NA,0.323674633,0.310660362,0.769086163
FS,0.325728877,0.452069666,0.57558322,0.683134731,0.497599608,0.10735848,0.297882794,0.358660986,0.263726847,0.335489395,0.365724813,0.323674633,NA,0.419474533,0.561145526
GSN,0.249132362,0.528451371,0.42479201,0.493094139,0.321363925,0.362502566,0.390709968,0.469871654,0.332146607,0.325673052,0.329138228,0.310660362,0.419474533,NA,0.95914554
HIB,0.843108918,0.854486784,1.200012589,1.304693,0.972983563,0.422847762,0.811380799,0.726959059,0.705766672,0.881300203,0.874676377,0.769086163,0.561145526,0.95914554,NA
