,BIL,BRC,BSL1,BSL3,BSLO,CRHS,CRPR,CT1,CT2,EPHS,FS,GSN,HIB,JGSS,LOB,LW,MC,PG,PT,RL,S100,S110,S8CR,S90,SOC,SPC,T1L,VL1,VL2
BIL,0,71.03185452,24.66921953,21.41097371,22.67128372,72.1252038,140.9199061,109.0886552,107.9078149,70.84841389,87.67867817,1.580264089,151.5147689,0.941163086,58.2168655,25.35327264,64.35842625,140.9178137,51.6712651,100.3331077,19.37339129,14.89607125,14.48903017,16.37023661,140.9095959,27.89563823,66.18975427,98.2569287,102.3640604
BRC,71.03185452,0,76.5877648,82.51347064,81.68776851,56.94626643,120.8187804,92.38253832,91.96392287,65.34764811,76.11014972,69.45326735,130.5789575,70.60757916,114.5299438,52.82852247,58.30582598,120.0009715,64.68115924,63.5123489,80.49196528,70.02914276,82.14331852,82.25287258,113.0439362,83.5752051,62.3036588,76.45185443,80.43837258
BSL1,24.66921953,76.5877648,0,9.332074811,7.177776997,58.009083,121.3807919,90.40417024,89.11900196,53.82055555,69.68470846,24.74320696,131.7986031,23.86389621,79.13841674,45.31906731,49.17648989,121.5662568,33.49177847,88.30866764,42.92421949,10.7409442,17.19473418,38.41692489,123.2703199,6.990342865,49.73134485,81.90190972,85.62491585
BSL3,21.41097371,82.51347064,9.332074811,0,2.354055162,67.3028432,130.2908071,99.50730671,98.21055504,63.13554941,78.90919396,22.0711401,140.6584699,20.85181517,71.40469432,45.36937799,58.49263705,130.5109609,42.80910161,97.54533899,37.26665485,12.63382275,9.453369213,32.14593809,132.4498705,7.398662258,59.06231329,91.20999047,94.91216539
BSLO,22.67128372,81.68776851,7.177776997,2.354055162,0,65.18578368,127.9425665,97.18008284,95.88151941,60.89414273,76.61252694,23.1984195,138.3076303,22.0446046,73.67681913,46.01348348,56.34570778,128.1649535,40.57436549,95.48250706,39.15989326,12.31236352,11.60276125,34.1441663,130.1372074,5.408267776,56.85386792,88.95869635,92.64399239
CRHS,72.1252038,56.94626643,58.009083,67.3028432,65.18578368,0,72.02399026,40.22146371,39.34976317,10.02580958,20.1730208,71.00207344,82.6109143,71.22093795,129.9756661,73.61476816,9.016499314,71.68925074,25.52451099,30.53430085,90.52471833,60.22261117,73.46333024,88.45446169,69.55210176,63.07316826,10.30826684,26.70739647,31.02326934
CRPR,140.9199061,120.8187804,121.3807919,130.2908071,127.9425665,72.02399026,0,32.09159064,33.1683994,70.44682406,53.53271486,140.0517109,10.64479133,139.9808813,199.0599558,145.5363514,77.78939785,1.619028654,89.31017191,57.93328547,160.1115862,127.1355103,138.4937899,157.1595079,15.44278938,124.0080421,75.23212252,46.00354078,41.64813734
CT1,109.0886552,92.38253832,90.40417024,99.50730671,97.18008284,40.22146371,32.09159064,0,1.393563545,38.39991027,21.47665196,108.1790953,42.73584554,108.1522445,167.2904667,113.5244639,45.69934914,31.93969895,57.66943726,34.12056822,128.1987142,95.55226048,107.3539893,125.3868546,33.21233072,93.5884469,43.17102869,15.97586374,12.37208587
CT2,107.9078149,91.96392287,89.11900196,98.21055504,95.88151941,39.34976317,33.1683994,1.393563545,0,37.28281392,20.36462827,107.0072127,43.81221906,106.9707794,166.1015394,112.539224,44.65564893,33.05901431,56.4450943,34.34546081,127.0379233,94.32862847,106.085018,124.1960412,34.57213199,92.26952367,42.06475785,15.69771016,12.35782939
EPHS,70.84841389,65.34764811,53.82055555,63.13554941,60.89414273,10.02580958,70.44682406,38.39991027,37.28281392,0,16.92345241,69.89189727,81.08815329,69.91656869,129.0631174,75.7847758,8.108083131,70.33571153,20.32894766,37.55428017,89.85815712,57.72821733,70.21265816,87.1940443,70.15838468,58.08881494,4.804721249,28.0894401,31.90716801
