,BIL,BRC,BSL1,BSL3,BSLO,JGSS,LOB,LW,PT,S100,S110,S8CR,S90,SPC
BIL,0,71.03185452,24.66921953,21.41097371,22.67128372,0.941163086,58.2168655,25.35327264,51.6712651,19.37339129,14.89607125,14.48903017,16.37023661,27.89563823
BRC,71.03185452,0,76.5877648,82.51347064,81.68776851,70.60757916,114.5299438,52.82852247,64.68115924,80.49196528,70.02914276,82.14331852,82.25287258,83.5752051
BSL1,24.66921953,76.5877648,0,9.332074811,7.177776997,23.86389621,79.13841674,45.31906731,33.49177847,42.92421949,10.7409442,17.19473418,38.41692489,6.990342865
BSL3,21.41097371,82.51347064,9.332074811,0,2.354055162,20.85181517,71.40469432,45.36937799,42.80910161,37.26665485,12.63382275,9.453369213,32.14593809,7.398662258
BSLO,22.67128372,81.68776851,7.177776997,2.354055162,0,22.0446046,73.67681913,46.01348348,40.57436549,39.15989326,12.31236352,11.60276125,34.1441663,5.408267776
JGSS,0.941163086,70.60757916,23.86389621,20.85181517,22.0446046,0,59.15041981,25.522412,50.73048717,20.31175723,14.00001468,14.25182147,17.29351953,27.22848714
LOB,58.2168655,114.5299438,79.13841674,71.40469432,73.67681913,59.15041981,0,62.69794774,109.7515124,39.45981481,72.02856441,62.16681896,41.90636549,78.6660475
LW,25.35327264,52.82852247,45.31906731,45.36937799,46.01348348,25.522412,62.69794774,0,60.52304399,27.98643433,34.67529788,39.77157875,30.70066791,50.57388142
PT,51.6712651,64.68115924,33.49177847,42.80910161,40.57436549,50.73048717,109.7515124,60.52304399,0,70.96355308,37.88364817,49.97803071,67.85698841,37.92295662
S100,19.37339129,80.49196528,42.92421949,37.26665485,39.15989326,20.31175723,39.45981481,27.98643433,70.96355308,0,34.06203725,28.03244477,5.802483406,44.56167289
S110,14.89607125,70.02914276,10.7409442,12.63382275,12.31236352,14.00001468,72.02856441,34.67529788,37.88364817,34.06203725,0,13.87817601,30.2896513,16.09561013
S8CR,14.48903017,82.14331852,17.19473418,9.453369213,11.60276125,14.25182147,62.16681896,39.77157875,49.97803071,28.03244477,13.87817601,0,22.77016452,16.85200937
S90,16.37023661,82.25287258,38.41692489,32.14593809,34.1441663,17.29351953,41.90636549,30.70066791,67.85698841,5.802483406,30.2896513,22.77016452,0,39.5117571
SPC,27.89563823,83.5752051,6.990342865,7.398662258,5.408267776,27.22848714,78.6660475,50.57388142,37.92295662,44.56167289,16.09561013,16.85200937,39.5117571,0
