,MC,PG,RL,SOC,T1L,VL1,VL2,CRHS,CRPR,CT1,CT2,EPHS,FS,GSN,HIB
MC,0,77.60157359,39.54705071,76.6238441,4.019128172,33.89877372,38.02134993,9.016499314,77.78939785,45.69934914,44.65564893,8.108083131,24.3758407,63.31431696,88.43248147
PG,77.60157359,0,56.97887964,13.82588243,75.11025025,45.51419238,41.14512901,71.68925074,1.619028654,31.93969895,33.05901431,70.33571153,53.41266284,140.0344578,10.93762282
RL,39.54705071,56.97887964,0,49.55295457,40.13421505,20.2332589,22.16510441,30.53430085,57.93328547,34.12056822,34.34546081,37.55428017,30.69307208,99.06531746,67.31331459
SOC,76.6238441,13.82588243,49.55295457,0,74.74426354,42.87119126,38.6324872,69.55210176,15.44278938,33.21233072,34.57213199,70.15838468,53.63942944,139.9016729,20.07133279
T1L,4.019128172,75.11025025,40.13421505,74.74426354,0,32.38948996,36.33408817,10.30826684,75.23212252,43.17102869,42.06475785,4.804721249,21.70037441,65.2124134,85.87477147
VL1,33.89877372,45.51419238,20.2332589,42.87119126,32.38948996,0,4.379938427,26.70739647,46.00354078,15.97586374,15.69771016,28.0894401,13.84055954,97.20698071,56.44643886
VL2,38.02134993,41.14512901,22.16510441,38.6324872,36.33408817,4.379938427,0,31.02326934,41.64813734,12.37208587,12.35782939,31.90716801,16.56955831,101.3319536,52.07511391
CRHS,9.016499314,71.68925074,30.53430085,69.55210176,10.30826684,26.70739647,31.02326934,0,72.02399026,40.22146371,39.34976317,10.02580958,20.1730208,71.00207344,82.6109143
CRPR,77.78939785,1.619028654,57.93328547,15.44278938,75.23212252,46.00354078,41.64813734,72.02399026,0,32.09159064,33.1683994,70.44682406,53.53271486,140.0517109,10.64479133
CT1,45.69934914,31.93969895,34.12056822,33.21233072,43.17102869,15.97586374,12.37208587,40.22146371,32.09159064,0,1.393563545,38.39991027,21.47665196,108.1790953,42.73584554
CT2,44.65564893,33.05901431,34.34546081,34.57213199,42.06475785,15.69771016,12.35782939,39.34976317,33.1683994,1.393563545,0,37.28281392,20.36462827,107.0072127,43.81221906
EPHS,8.108083131,70.33571153,37.55428017,70.15838468,4.804721249,28.0894401,31.90716801,10.02580958,70.44682406,38.39991027,37.28281392,0,16.92345241,69.89189727,81.08815329
FS,24.3758407,53.41266284,30.69307208,53.63942944,21.70037441,13.84055954,16.56955831,20.1730208,53.53271486,21.47665196,20.36462827,16.92345241,0,86.74865984,64.17603436
GSN,63.31431696,140.0344578,99.06531746,139.9016729,65.2124134,97.20698071,101.3319536,71.00207344,140.0517109,108.1790953,107.0072127,69.89189727,86.74865984,0,150.6554911
HIB,88.43248147,10.93762282,67.31331459,20.07133279,85.87477147,56.44643886,52.07511391,82.6109143,10.64479133,42.73584554,43.81221906,81.08815329,64.17603436,150.6554911,0
